epoch,error,learning_rate
0,1.09788,0.01
1,0.738772,0.00999
2,0.720231,0.00998
3,0.724406,0.00997001
4,0.679188,0.00996002
5,0.655287,0.00995003
6,0.64446,0.00994004
7,0.63465,0.00993005
8,0.622427,0.00992006
9,0.616817,0.00991008
10,0.614926,0.0099001
11,0.614315,0.00989012
12,0.613699,0.00988014
13,0.61273,0.00987017
14,0.61164,0.0098602
15,0.611238,0.00985022
16,0.611659,0.00984025
17,0.612154,0.00983029
18,0.612456,0.00982032
19,0.61261,0.00981036
20,0.612652,0.0098004
21,0.61262,0.00979044
22,0.612545,0.00978048
23,0.612422,0.00977053
24,0.612229,0.00976057
25,0.611935,0.00975062
26,0.61149,0.00974067
27,0.610857,0.00973073
28,0.609996,0.00972078
29,0.608878,0.00971084
30,0.60793,0.0097009
31,0.607459,0.00969096
32,0.607318,0.00968102
33,0.607286,0.00967109
34,0.607277,0.00966115
35,0.607274,0.00965122
36,0.60727,0.00964129
37,0.607267,0.00963136
38,0.607265,0.00962144
39,0.607262,0.00961151
40,0.607259,0.00960159
41,0.607257,0.00959167
42,0.607254,0.00958176
43,0.607251,0.00957184
44,0.607248,0.00956193
45,0.607245,0.00955202
46,0.607242,0.00954211
47,0.607239,0.0095322
48,0.607236,0.00952229
49,0.607234,0.00951239
50,0.607231,0.00950249
51,0.607228,0.00949259
52,0.607225,0.00948269
53,0.607222,0.00947279
54,0.607219,0.0094629
55,0.607216,0.00945301
56,0.607214,0.00944312
57,0.60721,0.00943323
58,0.607208,0.00942334
59,0.607205,0.00941346
60,0.607202,0.00940358
61,0.607199,0.0093937
62,0.607196,0.00938382
63,0.607194,0.00937394
64,0.607191,0.00936407
65,0.607188,0.0093542
66,0.607185,0.00934433
67,0.607182,0.00933446
68,0.607179,0.00932459
69,0.607176,0.00931473
70,0.607173,0.00930487
71,0.607171,0.00929501
72,0.607168,0.00928515
73,0.607165,0.00927529
74,0.607162,0.00926543
75,0.607159,0.00925558
76,0.607156,0.00924573
77,0.607153,0.00923588
78,0.60715,0.00922604
79,0.607148,0.00921619
80,0.607145,0.00920635
81,0.607142,0.00919651
82,0.607139,0.00918667
83,0.607136,0.00917683
84,0.607134,0.009167
85,0.607131,0.00915716
86,0.607128,0.00914733
87,0.607124,0.0091375
88,0.607122,0.00912768
89,0.607119,0.00911785
90,0.607116,0.00910803
91,0.607113,0.00909821
92,0.60711,0.00908839
93,0.607108,0.00907857
94,0.607105,0.00906875
95,0.607102,0.00905894
96,0.607099,0.00904913
97,0.607096,0.00903932
98,0.607093,0.00902951
99,0.60709,0.0090197
100,0.607088,0.0090099
101,0.607085,0.0090001
102,0.607082,0.0089903
103,0.60708,0.0089805
104,0.607077,0.0089707
105,0.607074,0.00896091
106,0.607072,0.00895112
107,0.607069,0.00894133
108,0.607066,0.00893154
109,0.607064,0.00892175
110,0.607061,0.00891197
111,0.607059,0.00890218
112,0.607056,0.0088924
113,0.607053,0.00888263
114,0.60705,0.00887285
115,0.607048,0.00886307
116,0.607045,0.0088533
117,0.607042,0.00884353
118,0.60704,0.00883376
119,0.607037,0.008824
120,0.607034,0.00881423
121,0.607032,0.00880447
122,0.607029,0.0087947
123,0.607026,0.00878495
124,0.607024,0.00877519
125,0.607021,0.00876543
126,0.607018,0.00875568
127,0.607016,0.00874593
128,0.607013,0.00873618
129,0.60701,0.00872643
130,0.607007,0.00871668
131,0.607005,0.00870694
132,0.607002,0.0086972
133,0.606999,0.00868746
134,0.606997,0.00867772
135,0.606994,0.00866798
136,0.606991,0.00865825
137,0.606989,0.00864851
138,0.606986,0.00863878
139,0.606983,0.00862906
140,0.60698,0.00861933
141,0.606978,0.00860961
142,0.606975,0.00859988
143,0.606972,0.00859016
144,0.60697,0.00858044
145,0.606967,0.00857072
146,0.606964,0.00856101
147,0.606961,0.0085513
148,0.606959,0.00854158
149,0.606956,0.00853187
150,0.606954,0.00852217
151,0.606951,0.00851246
152,0.606948,0.00850276
153,0.606945,0.00849306
154,0.606942,0.00848336
155,0.60694,0.00847366
156,0.606937,0.00846396
157,0.606935,0.00845427
158,0.606932,0.00844458
159,0.606929,0.00843489
160,0.606927,0.0084252
161,0.606924,0.00841551
162,0.606921,0.00840583
163,0.606919,0.00839614
164,0.606916,0.00838646
165,0.606913,0.00837678
166,0.60691,0.00836711
167,0.606907,0.00835743
168,0.606905,0.00834776
169,0.606902,0.00833809
170,0.6069,0.00832842
171,0.606897,0.00831875
172,0.606894,0.00830908
173,0.606892,0.00829942
174,0.606889,0.00828976
175,0.606886,0.0082801
176,0.606883,0.00827044
177,0.60688,0.00826078
178,0.606878,0.00825113
179,0.606875,0.00824148
180,0.606872,0.00823183
181,0.60687,0.00822218
182,0.606867,0.00821253
183,0.606864,0.00820289
184,0.606862,0.00819325
185,0.606859,0.0081836
186,0.606856,0.00817396
187,0.606853,0.00816433
188,0.60685,0.00815469
189,0.606848,0.00814506
190,0.606845,0.00813543
191,0.606842,0.0081258
192,0.60684,0.00811617
193,0.606837,0.00810654
194,0.606835,0.00809692
195,0.606832,0.0080873
196,0.606829,0.00807768
197,0.606826,0.00806806
198,0.606824,0.00805844
199,0.606821,0.00804883
200,0.606818,0.00803922
201,0.606815,0.0080296
202,0.606813,0.00802
203,0.60681,0.00801039
204,0.606807,0.00800078
205,0.606804,0.00799118
206,0.606802,0.00798158
207,0.606799,0.00797198
208,0.606796,0.00796238
209,0.606794,0.00795279
210,0.606791,0.00794319
211,0.606788,0.0079336
212,0.606786,0.00792401
213,0.606783,0.00791442
214,0.60678,0.00790484
215,0.606777,0.00789525
216,0.606774,0.00788567
217,0.606772,0.00787609
218,0.606769,0.00786651
219,0.606766,0.00785693
220,0.606763,0.00784736
221,0.606761,0.00783779
222,0.606758,0.00782821
223,0.606755,0.00781864
224,0.606753,0.00780908
225,0.60675,0.00779951
226,0.606747,0.00778995
227,0.606744,0.00778039
228,0.606742,0.00777083
229,0.606739,0.00776127
230,0.606736,0.00775171
231,0.606733,0.00774216
232,0.606731,0.0077326
233,0.606728,0.00772305
234,0.606725,0.0077135
235,0.606723,0.00770396
236,0.60672,0.00769441
237,0.606717,0.00768487
238,0.606714,0.00767533
239,0.606712,0.00766579
240,0.606709,0.00765625
241,0.606706,0.00764671
242,0.606703,0.00763718
243,0.6067,0.00762765
244,0.606698,0.00761812
245,0.606695,0.00760859
246,0.606692,0.00759906
247,0.606689,0.00758954
248,0.606687,0.00758002
249,0.606684,0.00757049
250,0.606682,0.00756098
251,0.606679,0.00755146
252,0.606676,0.00754194
253,0.606673,0.00753243
254,0.60667,0.00752292
255,0.606668,0.00751341
256,0.606665,0.0075039
257,0.606662,0.00749439
258,0.606659,0.00748489
259,0.606657,0.00747539
260,0.606654,0.00746589
261,0.606651,0.00745639
262,0.606649,0.00744689
263,0.606646,0.0074374
264,0.606643,0.0074279
265,0.60664,0.00741841
266,0.606637,0.00740892
267,0.606634,0.00739943
268,0.606632,0.00738995
269,0.606629,0.00738047
270,0.606626,0.00737098
271,0.606624,0.0073615
272,0.606621,0.00735202
273,0.606618,0.00734255
274,0.606615,0.00733307
275,0.606613,0.0073236
276,0.60661,0.00731413
277,0.606607,0.00730466
278,0.606604,0.00729519
279,0.606602,0.00728573
280,0.606599,0.00727626
281,0.606596,0.0072668
282,0.606593,0.00725734
283,0.606591,0.00724788
284,0.606588,0.00723843
285,0.606585,0.00722897
286,0.606582,0.00721952
287,0.60658,0.00721007
288,0.606577,0.00720062
289,0.606574,0.00719117
290,0.606571,0.00718173
291,0.606569,0.00717229
292,0.606566,0.00716285
293,0.606563,0.00715341
294,0.60656,0.00714397
295,0.606558,0.00713453
296,0.606555,0.0071251
297,0.606552,0.00711566
298,0.606549,0.00710623
299,0.606546,0.00709681
300,0.606544,0.00708738
301,0.606541,0.00707795
302,0.606538,0.00706853
303,0.606535,0.00705911
304,0.606533,0.00704969
305,0.60653,0.00704027
306,0.606527,0.00703086
307,0.606524,0.00702144
308,0.606522,0.00701203
309,0.606519,0.00700262
310,0.606516,0.00699321
311,0.606513,0.0069838
312,0.606511,0.0069744
313,0.606508,0.006965
314,0.606505,0.00695559
315,0.606502,0.00694619
316,0.606499,0.0069368
317,0.606496,0.0069274
318,0.606494,0.00691801
319,0.606491,0.00690861
320,0.606488,0.00689923
321,0.606485,0.00688984
322,0.606483,0.00688045
323,0.60648,0.00687106
324,0.606477,0.00686168
325,0.606474,0.0068523
326,0.606471,0.00684292
327,0.606469,0.00683354
328,0.606466,0.00682417
329,0.606463,0.00681479
330,0.606461,0.00680542
331,0.606458,0.00679605
332,0.606455,0.00678668
333,0.606452,0.00677731
334,0.60645,0.00676795
335,0.606447,0.00675859
336,0.606444,0.00674923
337,0.606441,0.00673987
338,0.606438,0.00673051
339,0.606435,0.00672115
340,0.606433,0.0067118
341,0.60643,0.00670245
342,0.606427,0.0066931
343,0.606424,0.00668375
344,0.606422,0.0066744
345,0.606419,0.00666506
346,0.606416,0.00665571
347,0.606413,0.00664637
348,0.606411,0.00663703
349,0.606408,0.00662769
350,0.606405,0.00661836
351,0.606402,0.00660902
352,0.606399,0.00659969
353,0.606397,0.00659036
354,0.606394,0.00658103
355,0.606391,0.0065717
356,0.606388,0.00656238
357,0.606386,0.00655306
358,0.606383,0.00654373
359,0.60638,0.00653441
360,0.606377,0.0065251
361,0.606374,0.00651578
362,0.606371,0.00650647
363,0.606368,0.00649715
364,0.606366,0.00648784
365,0.606363,0.00647853
366,0.60636,0.00646923
367,0.606358,0.00645992
368,0.606355,0.00645062
369,0.606352,0.00644132
370,0.606349,0.00643202
371,0.606346,0.00642272
372,0.606343,0.00641342
373,0.606341,0.00640413
374,0.606338,0.00639483
375,0.606335,0.00638554
376,0.606332,0.00637625
377,0.60633,0.00636696
378,0.606327,0.00635768
379,0.606324,0.0063484
380,0.606321,0.00633911
381,0.606319,0.00632983
382,0.606316,0.00632055
383,0.606313,0.00631128
384,0.60631,0.006302
385,0.606307,0.00629273
386,0.606304,0.00628346
387,0.606301,0.00627419
388,0.606299,0.00626492
389,0.606296,0.00625565
390,0.606293,0.00624639
391,0.606291,0.00623713
392,0.606288,0.00622787
393,0.606285,0.00621861
394,0.606282,0.00620935
395,0.606279,0.0062001
396,0.606276,0.00619084
397,0.606274,0.00618159
398,0.606271,0.00617234
399,0.606268,0.00616309
400,0.606265,0.00615385
401,0.606263,0.0061446
402,0.606259,0.00613536
403,0.606257,0.00612612
404,0.606254,0.00611688
405,0.606251,0.00610764
406,0.606248,0.0060984
407,0.606246,0.00608917
408,0.606243,0.00607994
409,0.60624,0.00607071
410,0.606237,0.00606148
411,0.606234,0.00605225
412,0.606231,0.00604303
413,0.606229,0.0060338
414,0.606226,0.00602458
415,0.606224,0.00601536
416,0.60622,0.00600614
417,0.606218,0.00599693
418,0.606214,0.00598771
419,0.606212,0.0059785
420,0.606209,0.00596929
421,0.606206,0.00596008
422,0.606204,0.00595087
423,0.606201,0.00594167
424,0.606198,0.00593246
425,0.606195,0.00592326
426,0.606192,0.00591406
427,0.606189,0.00590486
428,0.606186,0.00589567
429,0.606184,0.00588647
430,0.606181,0.00587728
431,0.606178,0.00586809
432,0.606175,0.0058589
433,0.606172,0.00584971
434,0.60617,0.00584052
435,0.606167,0.00583134
436,0.606164,0.00582215
437,0.606161,0.00581297
438,0.606159,0.00580379
439,0.606156,0.00579462
440,0.606153,0.00578544
441,0.60615,0.00577627
442,0.606147,0.00576709
443,0.606144,0.00575792
444,0.606142,0.00574876
445,0.606139,0.00573959
446,0.606136,0.00573042
447,0.606133,0.00572126
448,0.606131,0.0057121
449,0.606128,0.00570294
450,0.606125,0.00569378
451,0.606122,0.00568462
452,0.606119,0.00567547
453,0.606116,0.00566632
454,0.606113,0.00565716
455,0.606111,0.00564802
456,0.606108,0.00563887
457,0.606105,0.00562972
458,0.606102,0.00562058
459,0.6061,0.00561144
460,0.606097,0.00560229
461,0.606094,0.00559316
462,0.606091,0.00558402
463,0.606088,0.00557488
464,0.606086,0.00556575
465,0.606082,0.00555662
466,0.60608,0.00554749
467,0.606077,0.00553836
468,0.606075,0.00552923
469,0.606072,0.00552011
470,0.606069,0.00551098
471,0.606066,0.00550186
472,0.606064,0.00549274
473,0.606061,0.00548362
474,0.606058,0.00547451
475,0.606056,0.00546539
476,0.606053,0.00545628
477,0.60605,0.00544717
478,0.606047,0.00543806
479,0.606045,0.00542895
480,0.606042,0.00541985
481,0.60604,0.00541074
482,0.606037,0.00540164
483,0.606034,0.00539254
484,0.606031,0.00538344
485,0.606028,0.00537434
486,0.606026,0.00536525
487,0.606023,0.00535616
488,0.606021,0.00534706
489,0.606018,0.00533797
490,0.606015,0.00532888
491,0.606012,0.0053198
492,0.60601,0.00531071
493,0.606007,0.00530163
494,0.606005,0.00529255
495,0.606002,0.00528347
496,0.605999,0.00527439
497,0.605996,0.00526531
498,0.605994,0.00525624
499,0.605991,0.00524717
500,0.605988,0.0052381
501,0.605985,0.00522903
502,0.605983,0.00521996
503,0.60598,0.00521089
504,0.605977,0.00520183
505,0.605975,0.00519277
506,0.605972,0.0051837
507,0.605969,0.00517465
508,0.605967,0.00516559
509,0.605964,0.00515653
510,0.605961,0.00514748
511,0.605958,0.00513843
512,0.605955,0.00512938
513,0.605953,0.00512033
514,0.60595,0.00511128
515,0.605947,0.00510224
516,0.605945,0.00509319
517,0.605942,0.00508415
518,0.605939,0.00507511
519,0.605937,0.00506607
520,0.605934,0.00505703
521,0.605931,0.005048
522,0.605929,0.00503897
523,0.605926,0.00502993
524,0.605923,0.0050209
525,0.60592,0.00501188
526,0.605918,0.00500285
527,0.605915,0.00499382
528,0.605912,0.0049848
529,0.605909,0.00497578
530,0.605907,0.00496676
531,0.605904,0.00495774
532,0.605901,0.00494873
533,0.605899,0.00493971
534,0.605896,0.0049307
535,0.605893,0.00492169
536,0.605891,0.00491268
537,0.605888,0.00490367
538,0.605885,0.00489467
539,0.605882,0.00488566
540,0.60588,0.00487666
541,0.605877,0.00486766
542,0.605874,0.00485866
543,0.605872,0.00484966
544,0.605869,0.00484067
545,0.605866,0.00483167
546,0.605864,0.00482268
547,0.605861,0.00481369
548,0.605858,0.0048047
549,0.605855,0.00479571
550,0.605853,0.00478673
551,0.60585,0.00477775
552,0.605847,0.00476876
553,0.605844,0.00475978
554,0.605842,0.00475081
555,0.605839,0.00474183
556,0.605836,0.00473285
557,0.605834,0.00472388
558,0.605831,0.00471491
559,0.605828,0.00470594
560,0.605825,0.00469697
561,0.605823,0.004688
562,0.60582,0.00467904
563,0.605817,0.00467007
564,0.605815,0.00466111
565,0.605812,0.00465215
566,0.605809,0.0046432
567,0.605806,0.00463424
568,0.605803,0.00462528
569,0.605801,0.00461633
570,0.605798,0.00460738
571,0.605796,0.00459843
572,0.605793,0.00458948
573,0.60579,0.00458054
574,0.605787,0.00457159
575,0.605785,0.00456265
576,0.605782,0.00455371
577,0.605779,0.00454477
578,0.605777,0.00453583
579,0.605774,0.00452689
580,0.605771,0.00451796
581,0.605769,0.00450903
582,0.605765,0.00450009
583,0.605763,0.00449117
584,0.60576,0.00448224
585,0.605757,0.00447331
586,0.605755,0.00446439
587,0.605752,0.00445546
588,0.605749,0.00444654
589,0.605746,0.00443762
590,0.605744,0.00442871
