epoch,error,learning_rate
0,0.813937,0.001
1,0.814868,0.0009999
2,0.791032,0.0009998
3,0.722279,0.0009997
4,0.840704,0.0009996
5,0.710779,0.0009995
6,0.695185,0.0009994
7,0.692339,0.000999301
8,0.693638,0.000999201
9,0.693694,0.000999101
10,0.688472,0.000999001
11,0.685986,0.000998901
12,0.698351,0.000998802
13,1.00415,0.000998702
14,0.867355,0.000998602
15,0.760364,0.000998502
16,0.746895,0.000998403
17,0.73234,0.000998303
18,0.726179,0.000998203
19,0.715629,0.000998104
20,0.716736,0.000998004
21,0.715908,0.000997904
22,0.696857,0.000997805
23,0.688102,0.000997705
24,0.712573,0.000997606
25,0.700159,0.000997506
26,0.704061,0.000997407
27,0.695204,0.000997307
28,0.735439,0.000997208
29,0.715705,0.000997108
30,0.692425,0.000997009
31,0.788632,0.00099691
32,0.783549,0.00099681
33,0.701198,0.000996711
34,0.689581,0.000996612
35,0.618058,0.000996512
36,0.636286,0.000996413
37,0.634673,0.000996314
38,0.573749,0.000996214
39,0.543513,0.000996115
40,0.53714,0.000996016
41,0.552457,0.000995917
42,0.557172,0.000995818
43,0.572224,0.000995718
44,0.531625,0.000995619
45,0.55588,0.00099552
46,0.546104,0.000995421
47,0.539395,0.000995322
48,0.541027,0.000995223
49,0.512261,0.000995124
50,0.535049,0.000995025
51,0.593144,0.000994926
52,0.642922,0.000994827
53,0.644499,0.000994728
54,0.655381,0.000994629
55,0.657872,0.00099453
56,0.660205,0.000994431
57,0.660017,0.000994332
58,0.662834,0.000994234
59,0.667886,0.000994135
60,0.673021,0.000994036
61,0.677873,0.000993937
62,0.682305,0.000993838
63,0.685271,0.000993739
64,0.686364,0.000993641
65,0.686291,0.000993542
66,0.685631,0.000993443
67,0.684579,0.000993345
68,0.683109,0.000993246
69,0.681243,0.000993147
70,0.679065,0.000993049
71,0.676605,0.00099295
72,0.673872,0.000992852
73,0.671005,0.000992753
74,0.668213,0.000992654
75,0.665565,0.000992556
76,0.663052,0.000992457
77,0.660682,0.000992359
78,0.658802,0.00099226
79,0.654898,0.000992162
80,0.651729,0.000992064
81,0.650046,0.000991965
82,0.647085,0.000991867
83,0.644454,0.000991768
84,0.642833,0.00099167
85,0.641099,0.000991572
86,0.639828,0.000991473
87,0.638686,0.000991375
88,0.637803,0.000991277
89,0.636988,0.000991179
90,0.636418,0.00099108
91,0.635902,0.000990982
92,0.635552,0.000990884
93,0.63518,0.000990786
94,0.634799,0.000990688
95,0.63436,0.000990589
96,0.633902,0.000990491
97,0.633378,0.000990393
98,0.632798,0.000990295
99,0.63214,0.000990197
100,0.631433,0.000990099
101,0.630692,0.000990001
102,0.629847,0.000989903
103,0.628865,0.000989805
104,0.627706,0.000989707
105,0.626298,0.000989609
106,0.624644,0.000989511
107,0.618147,0.000989413
108,0.603266,0.000989315
109,0.563494,0.000989218
110,0.495288,0.00098912
111,0.458598,0.000989022
112,0.49333,0.000988924
113,0.497492,0.000988826
114,0.444992,0.000988729
115,0.44144,0.000988631
116,0.434544,0.000988533
117,0.40852,0.000988435
118,0.364355,0.000988338
119,0.32988,0.00098824
120,0.294167,0.000988142
121,0.307443,0.000988045
122,0.447208,0.000987947
123,0.466489,0.000987849
124,0.415769,0.000987752
125,0.392645,0.000987654
126,0.271085,0.000987557
127,0.258179,0.000987459
128,0.238156,0.000987362
129,0.265038,0.000987264
130,0.311785,0.000987167
131,0.261872,0.000987069
132,0.27447,0.000986972
133,0.342796,0.000986875
134,0.413695,0.000986777
135,0.295292,0.00098668
136,0.259466,0.000986582
137,0.308239,0.000986485
138,0.356644,0.000986388
139,0.442001,0.000986291
140,0.538152,0.000986193
141,0.568169,0.000986096
142,0.586792,0.000985999
143,0.608378,0.000985902
144,0.611917,0.000985804
145,0.569985,0.000985707
146,0.570356,0.00098561
147,0.506437,0.000985513
148,0.477292,0.000985416
149,0.432817,0.000985319
150,0.369059,0.000985222
151,0.37815,0.000985125
152,0.35702,0.000985028
153,0.372383,0.000984931
154,0.335687,0.000984834
155,0.345001,0.000984737
156,0.367733,0.00098464
157,0.314249,0.000984543
158,0.29902,0.000984446
159,0.29857,0.000984349
160,0.271693,0.000984252
161,0.248754,0.000984155
162,0.234608,0.000984058
163,0.216662,0.000983962
164,0.238716,0.000983865
165,0.255248,0.000983768
166,0.234436,0.000983671
167,0.209701,0.000983574
168,0.197702,0.000983478
169,0.242374,0.000983381
170,0.292107,0.000983284
171,0.371462,0.000983188
172,0.355861,0.000983091
173,0.335441,0.000982994
174,0.315063,0.000982898
175,0.279517,0.000982801
176,0.265848,0.000982704
177,0.362757,0.000982608
178,0.376314,0.000982511
179,0.270192,0.000982415
180,0.234409,0.000982318
181,0.293151,0.000982222
182,0.275923,0.000982125
183,0.346598,0.000982029
184,0.325216,0.000981933
185,0.340686,0.000981836
186,0.296213,0.00098174
187,0.292977,0.000981643
188,0.288905,0.000981547
189,0.274711,0.000981451
190,0.272668,0.000981354
191,0.276292,0.000981258
192,0.267207,0.000981162
193,0.270169,0.000981065
194,0.253426,0.000980969
195,0.253413,0.000980873
196,0.292977,0.000980777
197,0.394512,0.000980681
198,0.29857,0.000980585
199,0.279677,0.000980488
200,0.26061,0.000980392
201,0.450976,0.000980296
202,0.395985,0.0009802
203,0.369361,0.000980104
204,0.334159,0.000980008
205,0.286788,0.000979912
206,0.328613,0.000979816
207,0.307122,0.00097972
208,0.26893,0.000979624
209,0.23274,0.000979528
210,0.214298,0.000979432
211,0.207293,0.000979336
212,0.233659,0.00097924
213,0.268231,0.000979144
214,0.229249,0.000979048
215,0.32074,0.000978953
216,0.405638,0.000978857
217,0.335275,0.000978761
218,0.313584,0.000978665
219,0.317473,0.000978569
220,0.321469,0.000978474
221,0.275731,0.000978378
222,0.323998,0.000978282
223,0.30635,0.000978186
224,0.260154,0.000978091
225,0.302207,0.000977995
226,0.573119,0.000977899
227,0.658096,0.000977804
228,0.657682,0.000977708
229,0.656692,0.000977613
230,0.655277,0.000977517
231,0.653383,0.000977422
232,0.650781,0.000977326
233,0.646825,0.00097723
234,0.64053,0.000977135
235,0.633256,0.00097704
236,0.631633,0.000976944
237,0.632993,0.000976849
238,0.634804,0.000976753
239,0.635446,0.000976658
240,0.635533,0.000976562
241,0.634858,0.000976467
242,0.633358,0.000976372
243,0.632772,0.000976277
244,0.626287,0.000976181
245,0.633671,0.000976086
246,0.628519,0.000975991
247,0.626986,0.000975895
248,0.570554,0.0009758
249,0.336329,0.000975705
250,0.27568,0.00097561
251,0.172225,0.000975515
252,0.176389,0.000975419
253,0.179353,0.000975324
254,0.163186,0.000975229
255,0.174519,0.000975134
256,0.308271,0.000975039
257,0.291371,0.000974944
258,0.317393,0.000974849
259,0.231288,0.000974754
260,0.28408,0.000974659
261,0.260105,0.000974564
262,0.27039,0.000974469
263,0.206668,0.000974374
264,0.190642,0.000974279
265,0.193892,0.000974184
266,0.209498,0.000974089
267,0.245272,0.000973994
268,0.201803,0.000973899
269,0.204178,0.000973805
270,0.181648,0.00097371
271,0.219981,0.000973615
272,0.169345,0.00097352
273,0.145889,0.000973426
274,0.170479,0.000973331
275,0.15333,0.000973236
276,0.170296,0.000973141
277,0.182517,0.000973047
278,0.144858,0.000972952
279,0.21089,0.000972857
280,0.201994,0.000972763
281,0.23027,0.000972668
282,0.18713,0.000972573
283,0.201954,0.000972479
284,0.195423,0.000972384
285,0.175328,0.00097229
286,0.11712,0.000972195
287,0.140357,0.000972101
288,0.146617,0.000972006
289,0.132117,0.000971912
290,0.133894,0.000971817
291,0.129505,0.000971723
292,0.125283,0.000971629
293,0.125092,0.000971534
294,0.127631,0.00097144
295,0.141388,0.000971345
296,0.167221,0.000971251
297,0.185741,0.000971157
298,0.111529,0.000971062
299,0.170399,0.000970968
300,0.150927,0.000970874
301,0.112887,0.00097078
302,0.111055,0.000970685
303,0.112966,0.000970591
304,0.0934646,0.000970497
305,0.0947988,0.000970403
306,0.0932755,0.000970309
307,0.0949945,0.000970214
308,0.0977745,0.00097012
309,0.0857192,0.000970026
310,0.0872672,0.000969932
311,0.0880507,0.000969838
312,0.089176,0.000969744
313,0.0878721,0.00096965
314,0.0859774,0.000969556
315,0.0853067,0.000969462
316,0.0844895,0.000969368
317,0.0835918,0.000969274
318,0.0828246,0.00096918
319,0.082286,0.000969086
320,0.0815112,0.000968992
321,0.0808177,0.000968898
322,0.0800726,0.000968805
323,0.0794898,0.000968711
324,0.0787969,0.000968617
325,0.0782103,0.000968523
326,0.0775744,0.000968429
327,0.0770103,0.000968336
328,0.0764678,0.000968242
329,0.0759201,0.000968148
330,0.0754909,0.000968054
331,0.0749938,0.000967961
332,0.0746154,0.000967867
333,0.0741649,0.000967773
334,0.0738188,0.000967679
335,0.0734347,0.000967586
336,0.0731036,0.000967492
337,0.0727717,0.000967399
338,0.0724634,0.000967305
339,0.0721607,0.000967212
340,0.0718702,0.000967118
341,0.0715887,0.000967024
342,0.0713186,0.000966931
343,0.0710613,0.000966838
344,0.0708123,0.000966744
345,0.0705704,0.000966651
346,0.0703349,0.000966557
347,0.0701106,0.000966464
348,0.0699043,0.00096637
349,0.0697082,0.000966277
350,0.0695166,0.000966184
351,0.0693275,0.00096609
352,0.0691396,0.000965997
353,0.0689529,0.000965904
354,0.0687659,0.00096581
355,0.0685776,0.000965717
356,0.0683868,0.000965624
357,0.0681923,0.000965531
358,0.0679933,0.000965437
359,0.0677871,0.000965344
360,0.0675738,0.000965251
361,0.0673531,0.000965158
362,0.0671226,0.000965065
363,0.0668902,0.000964972
364,0.066647,0.000964879
365,0.0664012,0.000964785
366,0.0661563,0.000964692
367,0.0659155,0.000964599
368,0.0656656,0.000964506
369,0.0654228,0.000964413
370,0.0651653,0.00096432
371,0.0649044,0.000964227
372,0.0646389,0.000964134
373,0.0643596,0.000964041
374,0.0640996,0.000963948
375,0.0638331,0.000963855
376,0.0635662,0.000963763
377,0.0633117,0.00096367
378,0.0630848,0.000963577
379,0.0628903,0.000963484
380,0.0627291,0.000963391
381,0.0625772,0.000963298
382,0.0624291,0.000963206
383,0.0623104,0.000963113
384,0.0622174,0.00096302
385,0.062141,0.000962927
386,0.0620917,0.000962835
387,0.0620418,0.000962742
388,0.0620124,0.000962649
389,0.0619843,0.000962557
390,0.0619539,0.000962464
391,0.0619164,0.000962371
392,0.06188,0.000962279
393,0.0618422,0.000962186
394,0.0618035,0.000962094
395,0.061768,0.000962001
396,0.0617361,0.000961908
397,0.0617028,0.000961816
398,0.0616711,0.000961723
399,0.0616391,0.000961631
400,0.0616083,0.000961539
401,0.061578,0.000961446
402,0.0615494,0.000961354
403,0.0615196,0.000961261
404,0.0614868,0.000961169
405,0.0614633,0.000961076
406,0.061477,0.000960984
407,0.0615399,0.000960892
408,0.0616211,0.000960799
409,0.0612989,0.000960707
410,0.0594253,0.000960615
411,0.0599863,0.000960523
412,0.0596476,0.00096043
413,0.0590414,0.000960338
414,0.0603802,0.000960246
415,0.0601371,0.000960154
416,0.0609745,0.000960062
417,0.0600922,0.000959969
418,0.0597418,0.000959877
419,0.0597256,0.000959785
420,0.0615823,0.000959693
421,0.0585403,0.000959601
422,0.0589834,0.000959509
423,0.0583126,0.000959417
424,0.0583141,0.000959325
425,0.0595847,0.000959233
426,0.0575962,0.000959141
427,0.0579594,0.000959049
428,0.0574766,0.000958957
429,0.0572324,0.000958865
430,0.0569599,0.000958773
431,0.0559278,0.000958681
432,0.0554597,0.000958589
433,0.05515,0.000958497
434,0.0547689,0.000958405
435,0.0543082,0.000958313
436,0.0547479,0.000958222
437,0.0546267,0.00095813
438,0.054852,0.000958038
439,0.0544455,0.000957946
440,0.0553333,0.000957854
441,0.0545649,0.000957763
442,0.0549617,0.000957671
443,0.0546581,0.000957579
444,0.0537115,0.000957488
445,0.0537492,0.000957396
446,0.0531968,0.000957304
447,0.0539968,0.000957213
448,0.0531564,0.000957121
449,0.0535576,0.000957029
450,0.0537279,0.000956938
451,0.0527754,0.000956846
452,0.0530207,0.000956755
453,0.0528945,0.000956663
454,0.0523975,0.000956572
455,0.0527046,0.00095648
456,0.0522466,0.000956389
457,0.0524317,0.000956297
458,0.0521555,0.000956206
459,0.0522057,0.000956114
460,0.0521137,0.000956023
461,0.0520849,0.000955932
462,0.0520479,0.00095584
463,0.0520146,0.000955749
464,0.0519865,0.000955658
465,0.0519702,0.000955566
466,0.0519568,0.000955475
467,0.0519402,0.000955384
468,0.0519278,0.000955292
469,0.0519034,0.000955201
470,0.0518573,0.00095511
471,0.0518111,0.000955019
472,0.0517526,0.000954928
473,0.0516831,0.000954836
474,0.0515926,0.000954745
475,0.0514905,0.000954654
476,0.0513818,0.000954563
477,0.0512621,0.000954472
478,0.0511354,0.000954381
479,0.0510015,0.00095429
480,0.0508604,0.000954199
481,0.0507214,0.000954107
482,0.050579,0.000954016
483,0.050434,0.000953925
484,0.0502923,0.000953834
485,0.0501446,0.000953744
486,0.0499871,0.000953653
487,0.0498212,0.000953562
488,0.0496499,0.000953471
489,0.0494774,0.00095338
490,0.0493206,0.000953289
491,0.049184,0.000953198
492,0.049076,0.000953107
493,0.0489988,0.000953016
494,0.0489518,0.000952926
495,0.0489484,0.000952835
496,0.0489869,0.000952744
497,0.0490494,0.000952653
498,0.0491301,0.000952562
499,0.0492169,0.000952472
500,0.0493095,0.000952381
501,0.0494049,0.00095229
502,0.0494998,0.0009522
503,0.0495873,0.000952109
504,0.0496607,0.000952018
505,0.0497191,0.000951928
506,0.0497655,0.000951837
507,0.0497981,0.000951747
508,0.0498203,0.000951656
509,0.0498316,0.000951565
510,0.0498294,0.000951475
511,0.0498186,0.000951384
512,0.0498016,0.000951294
513,0.0497761,0.000951203
514,0.0497438,0.000951113
515,0.0497058,0.000951022
516,0.0496652,0.000950932
517,0.0496212,0.000950842
518,0.0495767,0.000950751
519,0.0495288,0.000950661
520,0.0494791,0.00095057
521,0.04943,0.00095048
522,0.04938,0.00095039
523,0.0493296,0.000950299
524,0.0492807,0.000950209
525,0.0492321,0.000950119
526,0.0491838,0.000950029
527,0.0491375,0.000949938
528,0.0490929,0.000949848
529,0.0490525,0.000949758
530,0.0490174,0.000949668
531,0.0489836,0.000949577
532,0.0489549,0.000949487
533,0.0489318,0.000949397
534,0.0489143,0.000949307
535,0.0489011,0.000949217
536,0.0488953,0.000949127
537,0.0488938,0.000949037
538,0.0488973,0.000948947
539,0.0489056,0.000948857
540,0.048917,0.000948767
541,0.0489318,0.000948677
542,0.04895,0.000948587
543,0.0489712,0.000948497
544,0.0489939,0.000948407
545,0.0490152,0.000948317
546,0.0490359,0.000948227
547,0.0490557,0.000948137
548,0.0490739,0.000948047
549,0.04909,0.000947957
550,0.0491034,0.000947867
551,0.0491125,0.000947778
552,0.0491175,0.000947688
553,0.0491192,0.000947598
554,0.0491204,0.000947508
555,0.0491192,0.000947418
556,0.0491136,0.000947329
557,0.0491065,0.000947239
558,0.0490974,0.000947149
559,0.0490888,0.000947059
560,0.0490801,0.00094697
561,0.049073,0.00094688
562,0.0490662,0.00094679
563,0.0490626,0.000946701
564,0.0490606,0.000946611
565,0.0490607,0.000946522
566,0.0490632,0.000946432
567,0.0490684,0.000946342
568,0.0490756,0.000946253
569,0.0490864,0.000946163
570,0.0490996,0.000946074
571,0.0491164,0.000945984
572,0.0491345,0.000945895
573,0.0491558,0.000945805
574,0.0491804,0.000945716
575,0.0492061,0.000945627
576,0.049235,0.000945537
577,0.049265,0.000945448
578,0.0492941,0.000945358
579,0.0493221,0.000945269
580,0.049349,0.00094518
581,0.0493741,0.00094509
582,0.049398,0.000945001
583,0.0494197,0.000944912
584,0.0494387,0.000944822
585,0.0494557,0.000944733
586,0.0494705,0.000944644
587,0.0494794,0.000944555
588,0.049487,0.000944466
589,0.0494919,0.000944376
590,0.0494935,0.000944287
591,0.0494913,0.000944198
592,0.049486,0.000944109
593,0.0494795,0.00094402
594,0.0494725,0.000943931
595,0.0494641,0.000943841
596,0.0494553,0.000943752
597,0.0494456,0.000943663
598,0.0494382,0.000943574
599,0.0494335,0.000943485
600,0.0494305,0.000943396
601,0.049431,0.000943307
602,0.0494376,0.000943218
603,0.0494491,0.000943129
604,0.0494664,0.00094304
605,0.0494892,0.000942951
606,0.0495185,0.000942863
607,0.0495546,0.000942774
608,0.0495981,0.000942685
609,0.0496506,0.000942596
610,0.0497124,0.000942507
611,0.0497806,0.000942418
612,0.0498545,0.000942329
613,0.0499342,0.000942241
614,0.0500181,0.000942152
615,0.050105,0.000942063
616,0.0501948,0.000941974
617,0.0502873,0.000941886
618,0.0503831,0.000941797
619,0.0504801,0.000941708
620,0.0505811,0.00094162
621,0.0506874,0.000941531
622,0.0507987,0.000941442
623,0.0509147,0.000941354
624,0.0510438,0.000941265
625,0.0511979,0.000941176
626,0.051399,0.000941088
627,0.0516609,0.000940999
628,0.0519879,0.000940911
629,0.0523987,0.000940822
630,0.053022,0.000940734
631,0.0538015,0.000940645
632,0.0547083,0.000940557
633,0.0554791,0.000940468
634,0.0558708,0.00094038
635,0.055644,0.000940292
636,0.0549567,0.000940203
637,0.0540675,0.000940115
638,0.0532192,0.000940026
639,0.0526441,0.000939938
640,0.0524444,0.00093985
641,0.0526436,0.000939761
642,0.0531555,0.000939673
643,0.0539204,0.000939585
644,0.054805,0.000939497
645,0.0557414,0.000939408
646,0.0566614,0.00093932
647,0.0575323,0.000939232
648,0.0583352,0.000939144
649,0.0590354,0.000939055
650,0.059615,0.000938967
651,0.0600503,0.000938879
652,0.0603363,0.000938791
653,0.0605021,0.000938703
654,0.060526,0.000938615
655,0.0604171,0.000938527
656,0.0601909,0.000938438
657,0.0598624,0.00093835
658,0.0594289,0.000938262
659,0.0589344,0.000938174
660,0.0583821,0.000938086
661,0.0578455,0.000937998
662,0.0573403,0.00093791
663,0.0568583,0.000937822
664,0.0563477,0.000937734
665,0.0558899,0.000937647
666,0.0554833,0.000937559
667,0.0550877,0.000937471
668,0.0546395,0.000937383
669,0.054162,0.000937295
670,0.0536696,0.000937207
671,0.0532674,0.000937119
672,0.052909,0.000937032
673,0.0525262,0.000936944
674,0.0521201,0.000936856
675,0.0517227,0.000936768
676,0.0513504,0.00093668
677,0.0509885,0.000936593
678,0.0506338,0.000936505
679,0.050271,0.000936417
680,0.0499023,0.00093633
681,0.0495342,0.000936242
682,0.049195,0.000936154
683,0.0488673,0.000936067
684,0.0485483,0.000935979
685,0.0482468,0.000935891
686,0.0479592,0.000935804
687,0.0476817,0.000935716
688,0.0474159,0.000935629
689,0.0471621,0.000935541
690,0.0469257,0.000935454
691,0.0467122,0.000935366
692,0.0465222,0.000935279
693,0.0463432,0.000935191
694,0.0461707,0.000935104
695,0.0460165,0.000935016
696,0.0458758,0.000934929
697,0.0457574,0.000934842
698,0.0456598,0.000934754
699,0.0455708,0.000934667
700,0.0454956,0.000934579
701,0.0454432,0.000934492
702,0.045418,0.000934405
703,0.0454273,0.000934318
704,0.0454866,0.00093423
705,0.0456063,0.000934143
706,0.0458442,0.000934056
707,0.0462057,0.000933968
708,0.0467023,0.000933881
709,0.0473987,0.000933794
710,0.0482251,0.000933707
711,0.0491295,0.00093362
712,0.0500254,0.000933533
713,0.0577082,0.000933445
714,0.0799573,0.000933358
715,0.113502,0.000933271
716,0.102377,0.000933184
717,0.0641473,0.000933097
718,0.0655688,0.00093301
719,0.0679904,0.000932923
720,0.225277,0.000932836
721,0.177756,0.000932749
722,0.122453,0.000932662
723,0.107862,0.000932575
724,0.0963804,0.000932488
725,0.0891699,0.000932401
726,0.084758,0.000932314
727,0.0817218,0.000932227
728,0.0793458,0.00093214
729,0.0773681,0.000932053
730,0.0756689,0.000931967
731,0.0741842,0.00093188
732,0.0728725,0.000931793
733,0.0717327,0.000931706
734,0.0707673,0.000931619
735,0.0699098,0.000931532
736,0.0691484,0.000931446
737,0.0684827,0.000931359
738,0.0678829,0.000931272
739,0.0673424,0.000931185
740,0.0668516,0.000931099
741,0.0664047,0.000931012
742,0.0659911,0.000930925
743,0.0656092,0.000930839
744,0.0652552,0.000930752
745,0.0649247,0.000930666
746,0.0646204,0.000930579
747,0.0643428,0.000930492
748,0.0640821,0.000930406
749,0.0638543,0.000930319
750,0.0636456,0.000930233
751,0.0634555,0.000930146
752,0.0632826,0.00093006
753,0.0631213,0.000929973
754,0.0629708,0.000929887
755,0.0628331,0.0009298
756,0.0627091,0.000929714
757,0.0625988,0.000929627
758,0.0625018,0.000929541
759,0.062415,0.000929455
760,0.0623419,0.000929368
761,0.0622787,0.000929282
762,0.0622267,0.000929195
763,0.0621888,0.000929109
764,0.0621637,0.000929023
765,0.0621465,0.000928936
766,0.0621373,0.00092885
767,0.0621418,0.000928764
768,0.0621586,0.000928678
769,0.062189,0.000928591
770,0.0622334,0.000928505
771,0.0622961,0.000928419
772,0.0623795,0.000928333
773,0.0624845,0.000928247
774,0.0626118,0.00092816
775,0.0627648,0.000928074
776,0.0629446,0.000927988
777,0.0631604,0.000927902
778,0.0634199,0.000927816
779,0.0637324,0.00092773
780,0.0641102,0.000927644
781,0.0645743,0.000927558
782,0.0651602,0.000927472
783,0.0659203,0.000927386
784,0.066932,0.0009273
785,0.0683172,0.000927214
786,0.0703471,0.000927128
787,0.0738459,0.000927042
788,0.0812058,0.000926956
789,0.0589344,0.00092687
790,0.0519783,0.000926784
791,0.0519737,0.000926698
792,0.0518726,0.000926612
793,0.0515854,0.000926526
794,0.0510453,0.000926441
795,0.0504078,0.000926355
796,0.0496614,0.000926269
797,0.048875,0.000926183
798,0.0480775,0.000926097
799,0.0473725,0.000926012
800,0.0467497,0.000925926
801,0.0461961,0.00092584
802,0.0457182,0.000925755
803,0.045295,0.000925669
804,0.0449449,0.000925583
805,0.044653,0.000925498
806,0.0443907,0.000925412
807,0.0441684,0.000925326
808,0.043984,0.000925241
809,0.0438373,0.000925155
810,0.043734,0.000925069
811,0.0436593,0.000924984
812,0.0436573,0.000924898
813,0.0436923,0.000924813
814,0.0437743,0.000924727
815,0.0439167,0.000924642
816,0.044135,0.000924556
817,0.0444746,0.000924471
818,0.0450296,0.000924385
819,0.0457909,0.0009243
820,0.046834,0.000924214
821,0.0482053,0.000924129
822,0.0498943,0.000924044
823,0.0518576,0.000923958
824,0.0538762,0.000923873
825,0.0557419,0.000923788
826,0.0571752,0.000923702
827,0.05825,0.000923617
828,0.0590136,0.000923532
829,0.0596627,0.000923446
830,0.0600924,0.000923361
831,0.0604772,0.000923276
832,0.0605022,0.000923191
833,0.0602461,0.000923105
834,0.0597276,0.00092302
835,0.0590833,0.000922935
836,0.0584508,0.00092285
837,0.0580785,0.000922765
838,0.0581632,0.00092268
839,0.0591312,0.000922594
840,0.0613814,0.000922509
841,0.063793,0.000922424
842,0.0635501,0.000922339
843,0.0669239,0.000922254
844,0.105205,0.000922169
845,0.117181,0.000922084
846,0.0838448,0.000921999
847,0.0480827,0.000921914
848,0.0491565,0.000921829
849,0.0501599,0.000921744
850,0.0508141,0.000921659
851,0.0511182,0.000921574
852,0.0511946,0.000921489
853,0.0511124,0.000921404
854,0.0509132,0.000921319
855,0.0506184,0.000921234
856,0.0502568,0.00092115
857,0.0498534,0.000921065
858,0.0494149,0.00092098
859,0.0489579,0.000920895
860,0.0485042,0.00092081
861,0.048053,0.000920726
862,0.0476185,0.000920641
863,0.0472082,0.000920556
864,0.0468252,0.000920471
865,0.0464865,0.000920387
866,0.0462017,0.000920302
867,0.0459527,0.000920217
868,0.0457402,0.000920133
869,0.0455695,0.000920048
870,0.0454226,0.000919963
871,0.0453044,0.000919879
872,0.0452006,0.000919794
873,0.0451047,0.000919709
874,0.0450189,0.000919625
875,0.0449409,0.00091954
876,0.0448679,0.000919456
877,0.0448041,0.000919371
878,0.0447434,0.000919287
879,0.0446811,0.000919202
880,0.0446148,0.000919118
881,0.0445491,0.000919033
882,0.0444805,0.000918949
883,0.0444027,0.000918864
884,0.0443178,0.00091878
885,0.0442277,0.000918695
886,0.044133,0.000918611
887,0.0440419,0.000918527
888,0.043962,0.000918442
889,0.0438932,0.000918358
890,0.0438235,0.000918274
891,0.0437556,0.000918189
892,0.0436828,0.000918105
893,0.0436039,0.000918021
894,0.0435339,0.000917937
895,0.0434647,0.000917852
896,0.0433978,0.000917768
897,0.0433279,0.000917684
898,0.0432562,0.0009176
899,0.0431883,0.000917515
900,0.0431213,0.000917431
901,0.0430535,0.000917347
902,0.0429845,0.000917263
903,0.0429135,0.000917179
904,0.0428408,0.000917095
905,0.0427684,0.000917011
906,0.0427009,0.000916926
907,0.0426339,0.000916842
908,0.0425671,0.000916758
909,0.0425024,0.000916674
910,0.0424364,0.00091659
911,0.0423697,0.000916506
912,0.0423016,0.000916422
913,0.0422308,0.000916338
914,0.0421583,0.000916254
915,0.042084,0.00091617
916,0.0420095,0.000916087
917,0.0419351,0.000916003
918,0.0418598,0.000915919
919,0.0417832,0.000915835
920,0.0417076,0.000915751
921,0.0416313,0.000915667
922,0.0415524,0.000915583
923,0.0414708,0.0009155
924,0.0413869,0.000915416
925,0.0412996,0.000915332
