epoch,error,learning_rate
0,2.23083,0.001
1,1.87342,0.000999992
2,1.80646,0.000999984
3,1.74255,0.000999976
4,1.68186,0.000999968
5,1.62629,0.00099996
6,1.57745,0.000999952
7,1.53227,0.000999944
8,1.49167,0.000999936
9,1.45642,0.000999928
10,1.42473,0.00099992
11,1.3953,0.000999912
12,1.36731,0.000999904
13,1.34034,0.000999896
14,1.31447,0.000999888
15,1.28915,0.00099988
16,1.26516,0.000999872
17,1.24335,0.000999864
18,1.22299,0.000999856
19,1.20409,0.000999848
20,1.18652,0.00099984
21,1.17006,0.000999832
22,1.15455,0.000999824
23,1.13987,0.000999816
24,1.12594,0.000999808
25,1.11273,0.0009998
26,1.10018,0.000999792
27,1.08823,0.000999784
28,1.07684,0.000999776
29,1.06596,0.000999768
30,1.05557,0.00099976
31,1.04562,0.000999752
32,1.03608,0.000999744
33,1.02691,0.000999736
34,1.01809,0.000999728
35,1.00963,0.00099972
36,1.00158,0.000999712
37,0.993967,0.000999704
38,0.986743,0.000999696
39,0.979859,0.000999688
40,0.973286,0.00099968
41,0.966993,0.000999672
42,0.960955,0.000999664
43,0.955166,0.000999656
44,0.9496,0.000999648
45,0.944244,0.00099964
46,0.93909,0.000999632
47,0.934132,0.000999624
48,0.929348,0.000999616
49,0.92474,0.000999608
50,0.920289,0.0009996
51,0.915991,0.000999592
52,0.91184,0.000999584
53,0.907825,0.000999576
54,0.903939,0.000999568
55,0.900178,0.00099956
56,0.896532,0.000999552
57,0.892993,0.000999544
58,0.889561,0.000999536
59,0.886224,0.000999528
60,0.882979,0.00099952
61,0.879819,0.000999512
62,0.876747,0.000999504
63,0.873744,0.000999496
64,0.870818,0.000999488
65,0.867963,0.00099948
66,0.86518,0.000999472
67,0.862469,0.000999464
68,0.859821,0.000999456
69,0.857235,0.000999448
70,0.854701,0.00099944
71,0.852226,0.000999432
72,0.849805,0.000999424
73,0.847429,0.000999416
74,0.845102,0.000999408
75,0.842817,0.0009994
76,0.840579,0.000999392
77,0.83838,0.000999384
78,0.836218,0.000999377
79,0.834087,0.000999368
80,0.831997,0.00099936
81,0.829938,0.000999352
82,0.827907,0.000999345
83,0.825896,0.000999336
84,0.823907,0.000999329
85,0.821932,0.000999321
86,0.81997,0.000999313
87,0.818018,0.000999305
88,0.816076,0.000999297
89,0.814148,0.000999289
90,0.812233,0.00099928
91,0.810341,0.000999273
92,0.808467,0.000999265
93,0.806611,0.000999257
94,0.804781,0.000999249
95,0.802973,0.000999241
96,0.801193,0.000999233
97,0.799436,0.000999225
98,0.797706,0.000999217
99,0.796001,0.000999209
100,0.79433,0.000999201
