epoch,error,learning_rate
0,0.4,0.01
1,0.4,0.00999
2,0.4,0.00998
3,0.4,0.00997001
4,0.6,0.00996002
5,0.6,0.00995003
6,0.8,0.00994004
7,0.6,0.00993005
8,0.8,0.00992006
9,0.8,0.00991008
10,0.6,0.0099001
11,0.8,0.00989012
12,0.6,0.00988014
13,0.8,0.00987017
14,0.8,0.0098602
15,0.6,0.00985022
16,0.8,0.00984025
17,0.8,0.00983029
18,0.6,0.00982032
19,0.8,0.00981036
20,0.8,0.0098004
21,0.6,0.00979044
22,0.8,0.00978048
23,0.8,0.00977053
24,0.6,0.00976057
25,0.8,0.00975062
26,0.8,0.00974067
27,0.8,0.00973073
28,0.6,0.00972078
29,0.8,0.00971084
30,0.8,0.0097009
31,0.6,0.00969096
32,0.8,0.00968102
33,0.8,0.00967109
34,0.8,0.00966115
35,0.4,0.00965122
36,0.4,0.00964129
37,0.4,0.00963136
38,0.2,0.00962144
39,0.4,0.00961151
40,0.4,0.00960159
41,0.4,0.00959167
42,0.2,0.00958176
43,0.4,0.00957184
44,0.4,0.00956193
45,0.4,0.00955202
46,0.4,0.00954211
47,0.6,0.0095322
48,0.2,0.00952229
49,0.4,0.00951239
50,0.4,0.00950249
51,0.4,0.00949259
52,0.4,0.00948269
53,0.4,0.00947279
54,0.6,0.0094629
55,0.2,0.00945301
56,0.4,0.00944312
57,0.4,0.00943323
58,0.4,0.00942334
59,0.4,0.00941346
60,0.4,0.00940358
61,0.6,0.0093937
62,0.4,0.00938382
63,0.4,0.00937394
64,0.4,0.00936407
65,0.4,0.0093542
66,0.4,0.00934433
67,0.4,0.00933446
68,0.4,0.00932459
69,0.4,0.00931473
70,0.4,0.00930487
71,0.4,0.00929501
72,0.4,0.00928515
73,0.4,0.00927529
74,0.4,0.00926543
75,0.4,0.00925558
76,0.4,0.00924573
77,0.4,0.00923588
78,0.4,0.00922604
79,0.4,0.00921619
80,0.4,0.00920635
81,0.4,0.00919651
82,0.4,0.00918667
83,0.4,0.00917683
84,0.4,0.009167
85,0.4,0.00915716
86,0.4,0.00914733
87,0.4,0.0091375
88,0.4,0.00912768
89,0.6,0.00911785
90,0.8,0.00910803
91,0.8,0.00909821
92,0.8,0.00908839
93,0.8,0.00907857
94,0.8,0.00906875
95,0.8,0.00905894
96,0.8,0.00904913
97,0.8,0.00903932
98,0.8,0.00902951
99,0.8,0.0090197
100,0.6,0.0090099
101,0.6,0.0090001
102,0.8,0.0089903
103,0.8,0.0089805
104,0.8,0.0089707
105,0.8,0.00896091
106,0.8,0.00895112
107,0.8,0.00894133
108,0.8,0.00893154
109,0.4,0.00892175
110,0.4,0.00891197
111,0.4,0.00890218
112,0.4,0.0088924
113,0.4,0.00888263
114,0.4,0.00887285
115,0.4,0.00886307
116,0.4,0.0088533
117,0.4,0.00884353
118,0.4,0.00883376
119,0.4,0.008824
120,0.4,0.00881423
121,0.4,0.00880447
122,0.4,0.0087947
123,0.4,0.00878495
124,0.4,0.00877519
125,0.4,0.00876543
126,0.4,0.00875568
127,0.4,0.00874593
128,0.4,0.00873618
129,0.4,0.00872643
130,0.4,0.00871668
131,0.4,0.00870694
132,0.4,0.0086972
133,0.4,0.00868746
134,0.4,0.00867772
135,0.4,0.00866798
136,0.4,0.00865825
137,0.4,0.00864851
138,0.4,0.00863878
139,0.4,0.00862906
140,0.4,0.00861933
141,0.4,0.00860961
142,0.4,0.00859988
143,0.4,0.00859016
144,0.4,0.00858044
145,0.6,0.00857072
146,0.8,0.00856101
147,0.6,0.0085513
148,0.6,0.00854158
149,0.8,0.00853187
150,0.8,0.00852217
151,0.8,0.00851246
152,0.6,0.00850276
153,0.6,0.00849306
154,0.8,0.00848336
155,0.8,0.00847366
156,0.8,0.00846396
157,0.6,0.00845427
158,0.6,0.00844458
159,0.8,0.00843489
160,0.8,0.0084252
161,0.4,0.00841551
162,0.8,0.00840583
163,0.8,0.00839614
164,0.4,0.00838646
165,0.4,0.00837678
166,0.4,0.00836711
167,0.4,0.00835743
168,0.4,0.00834776
169,0.4,0.00833809
170,0.4,0.00832842
171,0.4,0.00831875
172,0.4,0.00830908
173,0.4,0.00829942
174,0.4,0.00828976
175,0.4,0.0082801
176,0.4,0.00827044
177,0.4,0.00826078
178,0.4,0.00825113
179,0.4,0.00824148
180,0.4,0.00823183
181,0.4,0.00822218
182,0.4,0.00821253
183,0.4,0.00820289
184,0.4,0.00819325
185,0.4,0.0081836
186,0.4,0.00817396
187,0.4,0.00816433
188,0.4,0.00815469
189,0.4,0.00814506
190,0.6,0.00813543
191,0.6,0.0081258
192,0.6,0.00811617
193,0.8,0.00810654
194,0.6,0.00809692
195,0.6,0.0080873
196,0.8,0.00807768
197,0.6,0.00806806
198,0.6,0.00805844
199,0.8,0.00804883
200,0.4,0.00803922
201,0.8,0.0080296
202,0.8,0.00802
203,0.4,0.00801039
204,0.8,0.00800078
205,0.8,0.00799118
206,0.4,0.00798158
207,0.8,0.00797198
208,0.8,0.00796238
209,0.4,0.00795279
210,0.4,0.00794319
211,0.4,0.0079336
212,0.4,0.00792401
213,0.4,0.00791442
214,0.4,0.00790484
215,0.6,0.00789525
216,0.6,0.00788567
217,0.6,0.00787609
218,0.8,0.00786651
219,0.6,0.00785693
220,0.6,0.00784736
221,0.8,0.00783779
222,0.6,0.00782821
223,0.6,0.00781864
224,0.8,0.00780908
225,0.6,0.00779951
226,0.6,0.00778995
227,0.6,0.00778039
228,0.6,0.00777083
229,0.8,0.00776127
230,0.6,0.00775171
231,0.6,0.00774216
232,0.8,0.0077326
233,0.6,0.00772305
234,0,0.0077135
235,0,0.00770396
236,0,0.00769441
237,0,0.00768487
238,0,0.00767533
239,0,0.00766579
240,0,0.00765625
241,0,0.00764671
242,0,0.00763718
243,0,0.00762765
244,0,0.00761812
245,0,0.00760859
246,0,0.00759906
247,0,0.00758954
248,0,0.00758002
249,0,0.00757049
250,0,0.00756098
251,0,0.00755146
252,0,0.00754194
253,0,0.00753243
254,0,0.00752292
255,0,0.00751341
256,0,0.0075039
257,0,0.00749439
258,0,0.00748489
259,0,0.00747539
260,0,0.00746589
261,0,0.00745639
262,0,0.00744689
263,0,0.0074374
264,0,0.0074279
265,0,0.00741841
266,0,0.00740892
267,0,0.00739943
268,0,0.00738995
269,0,0.00738047
270,0,0.00737098
271,0,0.0073615
272,0,0.00735202
273,0,0.00734255
274,0,0.00733307
275,0,0.0073236
276,0,0.00731413
277,0,0.00730466
278,0,0.00729519
279,0,0.00728573
280,0,0.00727626
281,0,0.0072668
282,0,0.00725734
283,0,0.00724788
284,0,0.00723843
285,0,0.00722897
286,0,0.00721952
287,0,0.00721007
288,0,0.00720062
289,0,0.00719117
290,0,0.00718173
291,0,0.00717229
292,0,0.00716285
293,0,0.00715341
294,0,0.00714397
295,0,0.00713453
296,0,0.0071251
297,0,0.00711566
298,0,0.00710623
299,0,0.00709681
300,0,0.00708738
301,0,0.00707795
302,0,0.00706853
303,0,0.00705911
304,0,0.00704969
305,0,0.00704027
306,0,0.00703086
307,0,0.00702144
308,0,0.00701203
309,0,0.00700262
310,0,0.00699321
311,0,0.0069838
312,0,0.0069744
313,0,0.006965
314,0,0.00695559
315,0,0.00694619
316,0,0.0069368
317,0,0.0069274
318,0,0.00691801
